In welk jaar viel de Berlijnse Muur?,1989
Wie was de eerste keizer van het Romeinse Rijk?,Augustus
Wat was de bijnaam van Willem van Oranje?,Vader des Vaderlands
Welke beroemde Griekse filosoof was de leraar van Alexander de Grote?,Aristoteles
Hoe heette het schip waarmee de Pilgrims in 1620 naar Amerika reisden?,Mayflower
In welk jaar vond de Slag bij Waterloo plaats?,1815
Wie was de koningin van het oude Egypte en geliefde van Julius Caesar en Marcus Antonius?,Cleopatra
Welke Franse leider kroonde zichzelf tot keizer in 1804?,Napoleon Bonaparte
Wat is de naam van het document dat in 1215 door koning Jan van Engeland werd ondertekend?,Magna Carta
Wie ontdekte Amerika in 1492?,Christoffel Columbus
In welk jaar vond de Russische Revolutie plaats?,1917
Wie was de eerste president van de Verenigde Staten?,George Washington
Welke Britse koning stond bekend als de 'Vader van de Engelse Reformatie'?,Hendrik VIII
Wat was de oorspronkelijke naam van Istanbul?,Constantinopel
In welke stad werd de Olympische Spelen in 1936 gehouden?,Berlijn
Wat was de naam van het concentratiekamp waar Anne Frank stierf?,Bergen-Belsen
Welke Chinese dynastie staat bekend om het bouwen van het grootste deel van de Grote Muur?,Ming-dynastie
Wat was de naam van de eerste kunstmatige satelliet gelanceerd door de Sovjet-Unie?,Spoetnik
Wie schreef 'Het Communistisch Manifest' in 1848?,Karl Marx en Friedrich Engels
Wat was de naam van het pact dat de USSR en Oost-Europese landen in 1955 sloten als tegenhanger van de NAVO?,Warschaupact
